62,1,0,0,0,0,0,0,1,0,0,1,0,0,1,6,1,1,1,25
0,85,4,3,0,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0
0,4,78,7,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,8,73,4,2,5,0,0,0,0,0,3,0,0,0,0,1,0,0
0,1,4,7,82,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
0,4,5,0,1,85,2,0,0,0,0,1,2,0,0,0,0,0,0,0
0,0,0,2,4,1,82,3,0,1,0,1,4,1,0,0,0,0,0,0
0,1,0,0,0,1,1,94,1,0,0,1,1,0,0,0,0,0,0,0
0,2,0,0,0,0,0,3,90,0,1,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,0,0,95,2,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,98,0,1,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0,0,90,0,2,1,0,1,1,0,2
1,1,2,7,1,1,6,0,0,0,0,1,79,0,1,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,1,0
3,0,0,1,1,1,1,0,0,0,0,0,0,2,89,0,0,0,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,0,0,1,6
0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,82,2,5,6
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,6,1
0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,6,8,67,14
24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,5,0,16,49
