61,0,1,0,0,2,1,0,0,0,0,0,1,1,0,7,1,0,1,24
0,74,4,6,1,5,1,0,0,0,0,1,2,3,3,0,0,0,0,0
0,4,79,6,3,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0
0,2,9,72,5,1,3,1,0,0,0,2,4,0,1,0,0,0,0,0
0,1,4,8,83,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
0,7,3,2,2,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,2,0,83,4,0,0,0,0,4,0,2,1,0,0,0,0
0,1,1,0,0,3,1,86,2,1,0,0,4,0,0,0,0,1,0,0
0,0,0,1,2,0,2,3,85,1,0,0,1,1,2,0,1,0,1,0
0,0,0,0,0,0,0,1,0,94,3,1,0,1,0,0,0,0,0,0
0,1,0,0,2,0,0,0,0,1,94,0,1,1,0,0,0,0,0,0
0,1,0,0,2,0,2,1,1,1,0,88,0,1,0,0,1,0,2,0
1,1,1,8,1,1,3,1,1,1,2,0,75,0,4,0,0,0,0,0
2,1,0,0,0,1,3,1,0,0,0,0,0,91,1,0,0,0,0,0
1,1,1,0,0,0,2,0,0,0,0,0,0,2,89,0,0,1,3,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,0,1,0,0
0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,85,1,5,3
0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,0,1,87,5,0
0,0,0,1,0,1,1,0,0,1,2,0,0,3,1,1,10,8,58,13
26,2,1,0,1,0,0,1,0,0,1,0,0,1,2,16,5,0,14,30
